xc,yb,surf,section,og_cp,correction,cp,eps_blockage
0.01,0.843,U,3,-0.772504666,0.030395231,-0.742109435,
0.01,0.843,L,3,0.735639381,0.004244013,0.739883394,
0.022,0.843,L,3,0.424182419,0.009644677,0.433827096,
0.04,0.843,L,3,0.152400323,0.014357378,0.166757701,
0.09,0.843,L,3,-0.109581118,0.018900137,-0.090680981,
0.16,0.843,L,3,-0.263845031,0.021575073,-0.242269958,
0.25,0.843,L,3,-0.31004171,0.022376123,-0.287665587,
0.36,0.843,L,3,-0.277588065,0.021813377,-0.255774688,
0.49,0.843,L,3,-0.223730794,0.020879492,-0.202851302,
0.64,0.843,L,3,-0.131220867,0.01927537,-0.111945497,
0.79,0.843,L,3,-0.060141465,0.018042853,-0.042098612,
0.95,0.843,L,3,0.06845364,0.015813014,0.084266654,
0.95,0.899,U,4,0.045150448,0.016217091,0.061367539,
0.877,0.899,U,4,-0.011641511,0.017201864,0.005560353,
0.79,0.899,U,4,-0.112504444,0.018950827,-0.093553617,
0.712,0.899,U,4,-0.169180052,0.019933582,-0.14924647,
0.64,0.899,U,4,-0.253275589,0.021391799,-0.23188379,
0.563,0.899,U,4,-0.306564106,0.022315822,-0.284248284,
0.49,0.899,U,4,-0.383833748,0.023655677,-0.360178071,
0.412,0.899,U,4,-0.461012896,0.024993964,-0.436018932,
0.36,0.899,U,4,-0.545405772,0.026457336,-0.518948436,
0.25,0.899,U,4,-0.700565593,0.029147807,-0.671417786,
0.203,0.899,U,4,-0.727041789,0.029606905,-0.697434884,
0.16,0.899,U,4,-0.866339162,0.032022321,-0.834316841,
0.123,0.899,U,4,-0.892918781,0.032483212,-0.860435569,
0.09,0.899,U,4,-0.974351185,0.03389525,-0.940455935,
0.04,0.899,U,4,-1.069112181,0.035538405,-1.033573776,
0.022,0.899,U,4,-0.894638182,0.032513026,-0.862125156,
0.01,0.899,U,4,-0.710209754,0.029315037,-0.680894717,
0.01,0.899,L,4,0.726718593,0.0043987,0.731117293,
0.022,0.899,L,4,0.409120584,0.009905849,0.419026433,
0.04,0.899,L,4,0.070928541,0.015770099,0.08669864,
0.09,0.899,L,4,-0.202973401,0.020519559,-0.182453842,
0.16,0.899,L,4,-0.3338289,0.022788593,-0.311040307,
0.25,0.899,L,4,-0.359245015,0.023229309,-0.336015706,
0.36,0.899,L,4,-0.309951197,0.022374554,-0.287576643,
0.49,0.899,L,4,-0.257567629,0.021466223,-0.236101406,
0.64,0.899,L,4,-0.161138942,0.019794149,-0.141344793,
0.79,0.899,L,4,-0.105665622,0.018832242,-0.08683338,
0.95,0.899,L,4,0.110022301,0.015092213,0.125114514,
0.95,0.944,U,5,0.037244078,0.016354188,0.053598266,
0.877,0.944,U,5,-0.01773729,0.017307565,-0.000429725,
0.79,0.944,U,5,-0.116727685,0.019024058,-0.097703627,
0.712,0.944,U,5,-0.151530242,0.019627534,-0.131902708,
0.64,0.944,U,5,-0.226636031,0.020929869,-0.205706162,
0.563,0.944,U,5,-0.265398204,0.021602005,-0.243796199,
0.49,0.944,U,5,-0.336489987,0.022834736,-0.313655251,
0.412,0.944,U,5,-0.403495243,0.023996608,-0.379498635,
0.36,0.944,U,5,-0.44283758,0.024678804,-0.418158776,
0.25,0.944,U,5,-0.613971304,0.027646262,-0.586325042,
0.203,0.944,U,5,-0.697667138,0.029097548,-0.66856959,
0.16,0.944,U,5,-0.777494008,0.030481746,-0.747012262,
0.123,0.944,U,5,-0.78078281,0.030538774,-0.750244036,
0.09,0.944,U,5,-0.95754412,0.033603815,-0.923940305,
0.04,0.944,U,5,-1.008910344,0.034494505,-0.974415839,
0.022,0.944,U,5,-0.915772349,0.032879493,-0.882892856,
0.01,0.944,U,5,-0.649415667,0.028260868,-0.621154799,
0.01,0.944,L,5,0.681207417,0.005187863,0.68639528,
0.022,0.944,L,5,0.342254153,0.011065313,0.353319466,
0.04,0.944,L,5,0.015288517,0.016734897,0.032023414,
0.09,0.944,L,5,-0.231741469,0.021018397,-0.210723072,
0.16,0.944,L,5,-0.3379549,0.022860138,-0.315094762,
0.25,0.944,L,5,-0.372079391,0.023451857,-0.348627534,
0.36,0.944,L,5,-0.317750706,0.022509797,-0.295240909,
0.49,0.944,L,5,-0.284035956,0.021925183,-0.262110773,
0.563,0.944,L,5,-0.249269659,0.021322336,-0.227947323,
0.64,0.944,L,5,-0.158053455,0.019740647,-0.138312808,
0.79,0.944,L,5,-0.108681542,0.018884538,-0.089797004,
0.95,0.944,L,5,0.049358617,0.016144122,0.065502739,
0.95,0.974,U,6,0.008386561,0.016854577,0.025241138,
0.877,0.974,U,6,-0.051565664,0.017894149,-0.033671515,
0.79,0.974,U,6,-0.118917796,0.019062035,-0.099855761,
0.712,0.974,U,6,-0.155891364,0.019703156,-0.136188208,
0.64,0.974,U,6,-0.192968791,0.020346079,-0.172622712,
0.563,0.974,U,6,-0.229968323,0.020987651,-0.208980672,
0.49,0.974,U,6,-0.282312925,0.021895306,-0.260417619,
0.412,0.974,U,6,-0.372747572,0.023463443,-0.349284129,
0.36,0.974,U,6,-0.425377785,0.024376051,-0.401001734,
0.25,0.974,U,6,-0.538219868,0.026332733,-0.511887135,
0.203,0.974,U,6,-0.621410396,0.027775256,-0.59363514,
0.16,0.974,U,6,-0.697123124,0.029088115,-0.668035009,
0.123,0.974,U,6,-0.742327465,0.029871958,-0.712455507,
0.09,0.974,U,6,-0.833515085,0.031453152,-0.802061933,
0.04,0.974,U,6,-0.855636911,0.031836744,-0.823800167,
0.022,0.974,U,6,-0.725580308,0.029581563,-0.695998745,
0.01,0.974,U,6,-0.511632134,0.025871701,-0.485760433,
0.01,0.974,L,6,0.587656437,0.006810037,0.594466474,
0.022,0.974,L,6,0.289738796,0.011975929,0.301714725,
0.04,0.974,L,6,0.022277613,0.016613706,0.038891319,
0.09,0.974,L,6,-0.25328452,0.021391954,-0.231892566,
0.16,0.974,L,6,-0.361219297,0.023263543,-0.337955754,
0.25,0.974,L,6,-0.339694656,0.022890305,-0.316804351,
0.36,0.974,L,6,-0.31077011,0.022388754,-0.288381356,
0.49,0.974,L,6,-0.244119022,0.021233024,-0.222885998,
0.563,0.974,L,6,-0.199433972,0.020458185,-0.178975787,
0.64,0.974,L,6,-0.170068027,0.01994898,-0.150119047,
0.79,0.974,L,6,-0.111310173,0.018930118,-0.092380055,
0.95,0.974,L,6,0.000752973,0.016986943,0.017739916,
0.95,0.994,U,7,-0.321358199,0.022572351,-0.298785848,
0.877,0.994,U,7,-0.175253055,0.020038888,-0.155214167,
0.79,0.994,U,7,-0.169189869,0.019933752,-0.149256117,
0.712,0.994,U,7,-0.167652512,0.019907095,-0.147745417,
0.64,0.994,U,7,-0.191001588,0.020311968,-0.17068962,
