,xc,yb,surf,airfoil,alpha,M,Re,chord,taper ratio,span,le sweep,cp,source,std,case
4240,0.65,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.315,ARC-RM-2822/2_Wing_AR3.0,0,31
4241,0.5,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.335,ARC-RM-2822/2_Wing_AR3.0,0,31
4242,0.35,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.42,ARC-RM-2822/2_Wing_AR3.0,0,31
4243,0.225,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.74,ARC-RM-2822/2_Wing_AR3.0,0,31
4244,0.15,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.065,ARC-RM-2822/2_Wing_AR3.0,0,31
4245,0.08,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.34,ARC-RM-2822/2_Wing_AR3.0,0,31
4246,0.03,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-2.175,ARC-RM-2822/2_Wing_AR3.0,0,31
4247,0.01,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-3.285,ARC-RM-2822/2_Wing_AR3.0,0,31
4248,0.0,0.831,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-3.595,ARC-RM-2822/2_Wing_AR3.0,0,31
4249,0.01,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.01,ARC-RM-2822/2_Wing_AR3.0,0,31
4250,0.03,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.31,ARC-RM-2822/2_Wing_AR3.0,0,31
4251,0.08,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.335,ARC-RM-2822/2_Wing_AR3.0,0,31
4252,0.15,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.26,ARC-RM-2822/2_Wing_AR3.0,0,31
4253,0.225,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.155,ARC-RM-2822/2_Wing_AR3.0,0,31
4254,0.35,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.08,ARC-RM-2822/2_Wing_AR3.0,0,31
4255,0.5,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.01,ARC-RM-2822/2_Wing_AR3.0,0,31
4256,0.65,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.075,ARC-RM-2822/2_Wing_AR3.0,0,31
4257,0.75,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.045,ARC-RM-2822/2_Wing_AR3.0,0,31
4258,0.85,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.045,ARC-RM-2822/2_Wing_AR3.0,0,31
4259,0.95,0.831,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.04,ARC-RM-2822/2_Wing_AR3.0,0,31
4260,0.7,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.345,ARC-RM-2822/2_Wing_AR3.0,0,31
4261,0.5,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.305,ARC-RM-2822/2_Wing_AR3.0,0,31
4262,0.35,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.255,ARC-RM-2822/2_Wing_AR3.0,0,31
4263,0.25,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.89,ARC-RM-2822/2_Wing_AR3.0,0,31
4264,0.15,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.145,ARC-RM-2822/2_Wing_AR3.0,0,31
4265,0.1,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.41,ARC-RM-2822/2_Wing_AR3.0,0,31
4266,0.05,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.935,ARC-RM-2822/2_Wing_AR3.0,0,31
4267,0.025,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-2.415,ARC-RM-2822/2_Wing_AR3.0,0,31
4268,0.0,0.915,U,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-1.975,ARC-RM-2822/2_Wing_AR3.0,0,31
4269,0.025,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.595,ARC-RM-2822/2_Wing_AR3.0,0,31
4270,0.05,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.25,ARC-RM-2822/2_Wing_AR3.0,0,31
4271,0.1,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.075,ARC-RM-2822/2_Wing_AR3.0,0,31
4272,0.15,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,-0.005,ARC-RM-2822/2_Wing_AR3.0,0,31
4273,0.25,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.02,ARC-RM-2822/2_Wing_AR3.0,0,31
4274,0.35,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.025,ARC-RM-2822/2_Wing_AR3.0,0,31
4275,0.5,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.065,ARC-RM-2822/2_Wing_AR3.0,0,31
4276,0.7,0.915,L,RAE101,16.4,0.14,1710000.0,0.508,1.0,0.762,45.0,0.075,ARC-RM-2822/2_Wing_AR3.0,0,31
4277,0.95,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.042342838,NACA-TM-1107+1126/sweep,0,32
4278,0.78,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.261296351,NACA-TM-1107+1126/sweep,0,32
4279,0.6,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.431763503,NACA-TM-1107+1126/sweep,0,32
4280,0.4,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.614761813,NACA-TM-1107+1126/sweep,0,32
4281,0.2,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.782635937,NACA-TM-1107+1126/sweep,0,32
4282,0.1,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.890458147,NACA-TM-1107+1126/sweep,0,32
4283,0.05,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.896501311,NACA-TM-1107+1126/sweep,0,32
4284,0.03,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.837957475,NACA-TM-1107+1126/sweep,0,32
4285,0.01,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.557693507,NACA-TM-1107+1126/sweep,0,32
4286,0.0,0.0,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.600304871,NACA-TM-1107+1126/sweep,0,32
4287,0.01,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.970662985,NACA-TM-1107+1126/sweep,0,32
4288,0.03,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.778930837,NACA-TM-1107+1126/sweep,0,32
4289,0.05,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.631855181,NACA-TM-1107+1126/sweep,0,32
4290,0.1,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.430586333,NACA-TM-1107+1126/sweep,0,32
4291,0.2,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.24236942,NACA-TM-1107+1126/sweep,0,32
4292,0.4,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.11083023,NACA-TM-1107+1126/sweep,0,32
4293,0.6,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.063992991,NACA-TM-1107+1126/sweep,0,32
4294,0.78,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.071739525,NACA-TM-1107+1126/sweep,0,32
4295,0.95,0.0,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.090585086,NACA-TM-1107+1126/sweep,0,32
4296,0.9,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.088864092,NACA-TM-1107+1126/sweep,0,32
4297,0.78,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.136063857,NACA-TM-1107+1126/sweep,0,32
4298,0.6,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.313986459,NACA-TM-1107+1126/sweep,0,32
4299,0.4,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.517742013,NACA-TM-1107+1126/sweep,0,32
4300,0.2,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.805688781,NACA-TM-1107+1126/sweep,0,32
4301,0.1,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.01534807,NACA-TM-1107+1126/sweep,0,32
4302,0.05,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.385076364,NACA-TM-1107+1126/sweep,0,32
4303,0.03,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.589856035,NACA-TM-1107+1126/sweep,0,32
4304,0.01,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.754585595,NACA-TM-1107+1126/sweep,0,32
4305,0.0,0.07,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.538268174,NACA-TM-1107+1126/sweep,0,32
4306,0.01,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.645348686,NACA-TM-1107+1126/sweep,0,32
4307,0.03,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.678618811,NACA-TM-1107+1126/sweep,0,32
4308,0.05,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.591169041,NACA-TM-1107+1126/sweep,0,32
4309,0.1,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.427578606,NACA-TM-1107+1126/sweep,0,32
4310,0.2,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.257317716,NACA-TM-1107+1126/sweep,0,32
4311,0.4,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.12514085,NACA-TM-1107+1126/sweep,0,32
4312,0.6,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.106115268,NACA-TM-1107+1126/sweep,0,32
4313,0.78,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.108765925,NACA-TM-1107+1126/sweep,0,32
4314,0.9,0.07,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.161965265,NACA-TM-1107+1126/sweep,0,32
4315,0.95,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.071000848,NACA-TM-1107+1126/sweep,0,32
4316,0.78,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.131838838,NACA-TM-1107+1126/sweep,0,32
4317,0.6,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.298219217,NACA-TM-1107+1126/sweep,0,32
4318,0.4,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.534161032,NACA-TM-1107+1126/sweep,0,32
4319,0.2,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.901711204,NACA-TM-1107+1126/sweep,0,32
4320,0.1,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.253501772,NACA-TM-1107+1126/sweep,0,32
4321,0.05,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.87510165,NACA-TM-1107+1126/sweep,0,32
4322,0.03,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.039690374,NACA-TM-1107+1126/sweep,0,32
4323,0.01,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.394211911,NACA-TM-1107+1126/sweep,0,32
4324,0.0,0.17,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.082894479,NACA-TM-1107+1126/sweep,0,32
4325,0.01,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.542762714,NACA-TM-1107+1126/sweep,0,32
4326,0.03,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.670857342,NACA-TM-1107+1126/sweep,0,32
4327,0.05,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.587032245,NACA-TM-1107+1126/sweep,0,32
4328,0.1,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.437855233,NACA-TM-1107+1126/sweep,0,32
4329,0.2,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.252566807,NACA-TM-1107+1126/sweep,0,32
4330,0.4,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.134300189,NACA-TM-1107+1126/sweep,0,32
4331,0.6,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.081681198,NACA-TM-1107+1126/sweep,0,32
4332,0.78,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.090987367,NACA-TM-1107+1126/sweep,0,32
4333,0.95,0.17,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.122176078,NACA-TM-1107+1126/sweep,0,32
4334,0.95,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.04934902,NACA-TM-1107+1126/sweep,0,32
4335,0.78,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.091584304,NACA-TM-1107+1126/sweep,0,32
4336,0.6,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.284124042,NACA-TM-1107+1126/sweep,0,32
4337,0.4,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.531785141,NACA-TM-1107+1126/sweep,0,32
4338,0.2,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.978171295,NACA-TM-1107+1126/sweep,0,32
4339,0.1,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.420098555,NACA-TM-1107+1126/sweep,0,32
4340,0.05,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.185177595,NACA-TM-1107+1126/sweep,0,32
4341,0.01,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.828810786,NACA-TM-1107+1126/sweep,0,32
4342,0.0,0.3,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.556833813,NACA-TM-1107+1126/sweep,0,32
4343,0.01,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.450587326,NACA-TM-1107+1126/sweep,0,32
4344,0.05,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.590613967,NACA-TM-1107+1126/sweep,0,32
4345,0.1,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.465938836,NACA-TM-1107+1126/sweep,0,32
4346,0.2,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.275473292,NACA-TM-1107+1126/sweep,0,32
4347,0.4,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.122604043,NACA-TM-1107+1126/sweep,0,32
4348,0.6,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.076239004,NACA-TM-1107+1126/sweep,0,32
4349,0.78,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.073829463,NACA-TM-1107+1126/sweep,0,32
4350,0.95,0.3,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.078735488,NACA-TM-1107+1126/sweep,0,32
4351,0.95,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.030173411,NACA-TM-1107+1126/sweep,0,32
4352,0.78,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.10730478,NACA-TM-1107+1126/sweep,0,32
4353,0.6,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.277676679,NACA-TM-1107+1126/sweep,0,32
4354,0.4,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.571643872,NACA-TM-1107+1126/sweep,0,32
4355,0.2,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.0210995,NACA-TM-1107+1126/sweep,0,32
4356,0.1,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.510602905,NACA-TM-1107+1126/sweep,0,32
4357,0.05,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.15526956,NACA-TM-1107+1126/sweep,0,32
4358,0.03,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.582162355,NACA-TM-1107+1126/sweep,0,32
4359,0.01,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-3.099406537,NACA-TM-1107+1126/sweep,0,32
4360,0.0,0.4,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.794939622,NACA-TM-1107+1126/sweep,0,32
4361,0.01,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.391854117,NACA-TM-1107+1126/sweep,0,32
4362,0.03,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.650626294,NACA-TM-1107+1126/sweep,0,32
4363,0.1,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.450462451,NACA-TM-1107+1126/sweep,0,32
4364,0.2,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.258828459,NACA-TM-1107+1126/sweep,0,32
4365,0.4,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.117698191,NACA-TM-1107+1126/sweep,0,32
4366,0.6,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.05868963,NACA-TM-1107+1126/sweep,0,32
4367,0.78,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.056713506,NACA-TM-1107+1126/sweep,0,32
4368,0.95,0.4,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.05478741,NACA-TM-1107+1126/sweep,0,32
4369,0.95,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.005783765,NACA-TM-1107+1126/sweep,0,32
4370,0.78,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.091339136,NACA-TM-1107+1126/sweep,0,32
4371,0.6,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.270765194,NACA-TM-1107+1126/sweep,0,32
4372,0.4,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.565349151,NACA-TM-1107+1126/sweep,0,32
4373,0.2,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.048709278,NACA-TM-1107+1126/sweep,0,32
4374,0.1,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.575419923,NACA-TM-1107+1126/sweep,0,32
4375,0.05,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.18768594,NACA-TM-1107+1126/sweep,0,32
4376,0.03,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.754125321,NACA-TM-1107+1126/sweep,0,32
4377,0.01,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-3.332945285,NACA-TM-1107+1126/sweep,0,32
4378,0.0,0.53,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.355248813,NACA-TM-1107+1126/sweep,0,32
4379,0.01,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.626365098,NACA-TM-1107+1126/sweep,0,32
4380,0.03,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.589814661,NACA-TM-1107+1126/sweep,0,32
4381,0.1,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.455402184,NACA-TM-1107+1126/sweep,0,32
4382,0.2,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.26825212,NACA-TM-1107+1126/sweep,0,32
4383,0.4,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.095145703,NACA-TM-1107+1126/sweep,0,32
4384,0.6,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.061514866,NACA-TM-1107+1126/sweep,0,32
4385,0.78,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.039895042,NACA-TM-1107+1126/sweep,0,32
4386,0.95,0.53,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.05087126,NACA-TM-1107+1126/sweep,0,32
4387,0.95,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.048294693,NACA-TM-1107+1126/sweep,0,32
4388,0.78,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.028557892,NACA-TM-1107+1126/sweep,0,32
4389,0.6,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.239590801,NACA-TM-1107+1126/sweep,0,32
4390,0.4,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.496954698,NACA-TM-1107+1126/sweep,0,32
4391,0.2,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.017268142,NACA-TM-1107+1126/sweep,0,32
4392,0.1,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.549775265,NACA-TM-1107+1126/sweep,0,32
4393,0.05,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.538036668,NACA-TM-1107+1126/sweep,0,32
4394,0.03,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.796622426,NACA-TM-1107+1126/sweep,0,32
4395,0.01,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-3.332246542,NACA-TM-1107+1126/sweep,0,32
4396,0.0,0.65,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.045277444,NACA-TM-1107+1126/sweep,0,32
4397,0.01,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.35867241,NACA-TM-1107+1126/sweep,0,32
4398,0.03,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.686605033,NACA-TM-1107+1126/sweep,0,32
4399,0.1,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.489586126,NACA-TM-1107+1126/sweep,0,32
4400,0.2,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.302242365,NACA-TM-1107+1126/sweep,0,32
4401,0.4,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.130533442,NACA-TM-1107+1126/sweep,0,32
4402,0.6,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.097119275,NACA-TM-1107+1126/sweep,0,32
4403,0.78,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.082008092,NACA-TM-1107+1126/sweep,0,32
4404,0.95,0.65,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.085100149,NACA-TM-1107+1126/sweep,0,32
4405,0.95,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.051903114,NACA-TM-1107+1126/sweep,0,32
4406,0.78,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.107266436,NACA-TM-1107+1126/sweep,0,32
4407,0.6,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.264129181,NACA-TM-1107+1126/sweep,0,32
4408,0.4,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-0.55017301,NACA-TM-1107+1126/sweep,0,32
4409,0.2,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.057670127,NACA-TM-1107+1126/sweep,0,32
4410,0.1,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-1.625144175,NACA-TM-1107+1126/sweep,0,32
4411,0.05,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.137254902,NACA-TM-1107+1126/sweep,0,32
4412,0.03,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-3.046136101,NACA-TM-1107+1126/sweep,0,32
4413,0.01,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-3.456747405,NACA-TM-1107+1126/sweep,0,32
4414,0.0,0.8,U,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,-2.151095732,NACA-TM-1107+1126/sweep,0,32
4415,0.01,0.8,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.307958478,NACA-TM-1107+1126/sweep,0,32
4416,0.03,0.8,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.640138408,NACA-TM-1107+1126/sweep,0,32
4417,0.1,0.8,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.423298731,NACA-TM-1107+1126/sweep,0,32
4418,0.2,0.8,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.234140715,NACA-TM-1107+1126/sweep,0,32
4419,0.4,0.8,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.040369089,NACA-TM-1107+1126/sweep,0,32
4420,0.6,0.8,L,NACA0012,12.0,0.15,1000000.0,0.4,0.5,0.75,35.0,0.003460208,NACA-TM-1107+1126/sweep,0,32
