,xc,yb,surf,airfoil,alpha,M,Re,chord,taper ratio,span,le sweep,cp,source,std,case
14,0.08,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.005,ARC-RM-2822/1_Wing_A,0,1
15,0.15,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.095,ARC-RM-2822/1_Wing_A,0,1
16,0.225,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.155,ARC-RM-2822/1_Wing_A,0,1
17,0.35,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.245,ARC-RM-2822/1_Wing_A,0,1
18,0.5,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.22,ARC-RM-2822/1_Wing_A,0,1
19,0.65,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.165,ARC-RM-2822/1_Wing_A,0,1
20,0.75,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.12,ARC-RM-2822/1_Wing_A,0,1
21,0.85,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.06,ARC-RM-2822/1_Wing_A,0,1
22,0.95,0.0,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.03,ARC-RM-2822/1_Wing_A,0,1
23,0.95,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.06,ARC-RM-2822/1_Wing_A,0,1
24,0.85,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.01,ARC-RM-2822/1_Wing_A,0,1
25,0.75,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.065,ARC-RM-2822/1_Wing_A,0,1
26,0.65,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.115,ARC-RM-2822/1_Wing_A,0,1
27,0.5,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.185,ARC-RM-2822/1_Wing_A,0,1
28,0.35,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.245,ARC-RM-2822/1_Wing_A,0,1
29,0.225,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.245,ARC-RM-2822/1_Wing_A,0,1
30,0.15,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.195,ARC-RM-2822/1_Wing_A,0,1
31,0.08,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.12,ARC-RM-2822/1_Wing_A,0,1
32,0.03,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.015,ARC-RM-2822/1_Wing_A,0,1
33,0.01,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.18,ARC-RM-2822/1_Wing_A,0,1
34,0.0,0.041,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.545,ARC-RM-2822/1_Wing_A,0,1
